report_begin_date,report_end_date,published_Date,market_type,slug_id,slug_name,report_title,final_ind,report_date,special_notes,report_narrative,_section,community,commodity,published_date,variety,region,size,organic,environment,store_count,wtd_avg_price,prior_WK_store_count,prior_WK_wtd_avg_price,prior_YR_store_count,prior_YR_wtd_avg_price,price_Range,stores_with_Ads,wtd_Avg_Price,%_Marked_Local
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Envy,Southwest,per lb,No,N/A,309.0,2.29,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Envy,Midwest,per lb,No,N/A,664.0,1.88,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Envy,National,per lb,No,N/A,1460.0,1.83,1766.0,1.69,967.0,1.74,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Envy,Hawaii,per lb,Yes,N/A,4.0,3.87,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Envy,Northwest,per lb,Yes,N/A,22.0,2.77,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Envy,Northeast,per lb,Yes,N/A,24.0,2.99,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Envy,Southeast,per lb,Yes,N/A,228.0,2.99,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,Envy,National,per lb,Yes,N/A,274.0,2.97,24.0,2.99,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Southeast,2 lb bag,No,N/A,277.0,1.99,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,National,2 lb bag,No,N/A,277.0,1.99,277.0,1.99,129.0,2.5,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Alaska,2 lb bag,Yes,N/A,11.0,5.99,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Southcentral,2 lb bag,Yes,N/A,116.0,4.76,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Northwest,2 lb bag,Yes,N/A,184.0,3.99,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Southwest,2 lb bag,Yes,N/A,187.0,5.0,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Northeast,2 lb bag,Yes,N/A,237.0,3.99,,,,,,,,
12/27/2025,01/02/2026,,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,01/02/2026,,,Report Details,Fruit,Apples,01/02/2026 16:08:45,FUJI,Southeast,2 lb bag,Yes,N/A,404.0,4.9,,,,,,,,
